date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
2025-04-22,Punjab,Bathinda,1,PM10,91,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-22,Punjab,Jalandhar,1,PM10,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Patiala,1,PM10,127,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Amritsar,1,PM2.5,141,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Jalandhar,1,PM10,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Rupnagar,1,NO2,15,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Bathinda,1,CO,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Khanna,1,PM10,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-21,Punjab,Ludhiana,1,PM2.5,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Rupnagar,1,NO2,14,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Khanna,1,CO,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Bathinda,1,PM2.5,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Patiala,1,PM10,91,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Jalandhar,1,PM10,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Ludhiana,1,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-20,Punjab,Amritsar,1,PM2.5,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-19,Punjab,Jalandhar,1,PM10,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-19,Punjab,Rupnagar,1,NO2,15,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-19,Punjab,Bathinda,1,PM10,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-19,Punjab,Khanna,1,CO,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-19,Punjab,Ludhiana,1,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-18,Punjab,Patiala,1,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-18,Punjab,Amritsar,1,CO,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-18,Punjab,Ludhiana,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
