date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
2024-06-02,Punjab,Amritsar,1,PM2.5,165,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-02,Punjab,Khanna,1,PM10,138,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-02,Punjab,Rupnagar,1,PM10,152,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-02,Punjab,Ludhiana,1,PM2.5,149,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Mandi Gobindgarh,1,PM2.5,235,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Amritsar,1,PM2.5,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Jalandhar,1,PM2.5,179,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Khanna,1,PM10,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Patiala,1,PM2.5,206,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Bathinda,1,PM2.5,165,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Rupnagar,1,PM10,208,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-06-01,Punjab,Ludhiana,1,PM2.5,184,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Patiala,1,PM10,128,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Rupnagar,1,PM10,165,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Ludhiana,1,PM2.5,189,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Amritsar,1,PM2.5,150,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Jalandhar,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Mandi Gobindgarh,1,PM2.5,118,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Khanna,1,PM10,134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-31,Punjab,Bathinda,1,PM10,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Rupnagar,1,PM10,146,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Khanna,1,PM10,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Patiala,1,PM10,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Bathinda,1,PM2.5,150,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Mandi Gobindgarh,1,PM2.5,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Amritsar,1,PM2.5,226,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Ludhiana,1,PM10,128,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-30,Punjab,Jalandhar,1,PM10,113,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Mandi Gobindgarh,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Rupnagar,1,PM10,193,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Ludhiana,1,PM10,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Khanna,1,PM10,130,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Jalandhar,1,PM10,151,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Patiala,1,PM2.5,168,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Bathinda,1,PM2.5,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-29,Punjab,Amritsar,1,PM2.5,212,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Khanna,1,PM2.5,114,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Bathinda,1,PM2.5,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Patiala,1,PM10,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Mandi Gobindgarh,1,PM2.5,292,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Amritsar,1,PM2.5,185,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Rupnagar,1,PM10,208,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Jalandhar,1,PM10,132,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-28,Punjab,Ludhiana,1,PM10,96,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Rupnagar,1,PM10,184,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Mandi Gobindgarh,1,PM2.5,252,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Patiala,1,PM10,133,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Bathinda,1,PM10,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Amritsar,1,PM2.5,158,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Ludhiana,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Jalandhar,1,PM10,144,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-27,Punjab,Khanna,1,PM2.5,211,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Rupnagar,1,PM10,127,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Bathinda,1,PM10,153,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Amritsar,1,PM10,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Mandi Gobindgarh,1,PM2.5,346,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Jalandhar,1,PM10,139,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Patiala,1,O3,161,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Ludhiana,1,PM10,115,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-26,Punjab,Khanna,1,PM10,103,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Ludhiana,1,PM2.5,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Bathinda,1,PM10,184,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Patiala,1,O3,170,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Mandi Gobindgarh,1,PM2.5,229,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Amritsar,1,PM10,194,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Khanna,1,PM10,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Rupnagar,1,PM10,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-25,Punjab,Jalandhar,1,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Rupnagar,1,PM10,154,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Jalandhar,1,PM10,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Khanna,1,PM10,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Ludhiana,1,PM2.5,147,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Mandi Gobindgarh,1,PM2.5,197,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Patiala,1,PM10,118,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Amritsar,1,PM10,177,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-24,Punjab,Bathinda,1,PM10,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Ludhiana,1,PM10,117,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Khanna,1,PM10,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Jalandhar,1,PM10,128,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Patiala,1,PM10,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Mandi Gobindgarh,1,PM2.5,167,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Amritsar,1,CO,158,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-23,Punjab,Bathinda,1,PM2.5,85,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Bathinda,1,PM10,125,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Jalandhar,1,PM2.5,149,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Khanna,1,PM10,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Amritsar,1,CO,158,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Ludhiana,1,PM10,125,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Mandi Gobindgarh,1,PM2.5,249,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Patiala,1,PM10,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-22,Punjab,Rupnagar,1,PM2.5,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Jalandhar,1,PM2.5,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Khanna,1,PM10,127,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Mandi Gobindgarh,1,PM2.5,271,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Rupnagar,1,PM2.5,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Bathinda,1,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Ludhiana,1,PM2.5,177,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Patiala,1,PM10,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-21,Punjab,Amritsar,1,CO,151,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Patiala,1,PM10,134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Mandi Gobindgarh,1,PM2.5,283,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Jalandhar,1,PM10,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Khanna,1,PM10,141,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Ludhiana,1,PM2.5,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Bathinda,1,PM10,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Rupnagar,1,PM2.5,96,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-20,Punjab,Amritsar,1,CO,177,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Bathinda,1,PM10,116,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Patiala,1,PM10,162,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Amritsar,1,CO,164,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Rupnagar,1,PM2.5,103,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Mandi Gobindgarh,1,PM2.5,295,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Jalandhar,1,PM10,117,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Ludhiana,1,PM10,132,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-19,Punjab,Khanna,1,PM10,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Khanna,1,PM2.5,190,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Patiala,1,PM10,178,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Amritsar,1,CO,163,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Rupnagar,1,PM2.5,166,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Ludhiana,1,PM2.5,176,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Mandi Gobindgarh,1,PM2.5,354,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Jalandhar,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-18,Punjab,Bathinda,1,CO,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Khanna,1,PM2.5,173,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Rupnagar,1,PM2.5,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Jalandhar,1,PM2.5,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Mandi Gobindgarh,1,PM2.5,226,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Patiala,1,PM10,159,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Ludhiana,1,PM2.5,211,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-17,Punjab,Bathinda,1,PM10,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Rupnagar,1,PM2.5,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Bathinda,1,CO,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Amritsar,1,PM2.5,200,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Patiala,1,PM10,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Mandi Gobindgarh,1,PM2.5,116,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Ludhiana,1,PM2.5,162,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Khanna,1,PM10,113,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-16,Punjab,Jalandhar,1,PM2.5,113,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Mandi Gobindgarh,1,PM2.5,178,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Jalandhar,1,PM2.5,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Amritsar,1,PM2.5,164,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Rupnagar,1,PM2.5,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Patiala,1,PM10,139,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Bathinda,1,PM10,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Khanna,1,PM2.5,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-15,Punjab,Ludhiana,1,PM2.5,208,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Mandi Gobindgarh,1,PM2.5,114,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Amritsar,1,PM2.5,130,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Rupnagar,1,PM2.5,253,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Bathinda,1,PM10,100,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Jalandhar,1,PM2.5,147,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Patiala,1,PM10,126,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Khanna,1,PM10,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-14,Punjab,Ludhiana,1,PM2.5,146,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Amritsar,1,PM10,85,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Mandi Gobindgarh,1,PM2.5,127,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Bathinda,1,PM10,86,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Khanna,1,PM10,75,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Rupnagar,1,PM2.5,270,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Patiala,1,PM10,105,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Ludhiana,1,PM10,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-13,Punjab,Jalandhar,1,O3,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Patiala,1,PM10,127,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Ludhiana,1,PM10,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Bathinda,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Mandi Gobindgarh,1,PM2.5,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Rupnagar,1,PM2.5,266,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Khanna,1,PM10,97,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-12,Punjab,Jalandhar,1,PM10,87,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Bathinda,1,PM10,194,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Jalandhar,1,PM10,128,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Amritsar,1,PM2.5,85,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Rupnagar,1,PM2.5,290,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Ludhiana,1,PM10,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Patiala,1,PM10,193,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Mandi Gobindgarh,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-11,Punjab,Khanna,1,PM2.5,132,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Bathinda,1,PM10,126,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Rupnagar,1,PM2.5,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Ludhiana,1,PM10,133,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Jalandhar,1,PM10,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Patiala,1,PM10,127,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Amritsar,1,PM2.5,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Mandi Gobindgarh,1,PM10,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-10,Punjab,Khanna,1,PM2.5,130,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Jalandhar,1,PM2.5,130,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Khanna,1,PM2.5,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Amritsar,1,PM2.5,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Rupnagar,1,PM2.5,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Mandi Gobindgarh,1,PM10,100,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Ludhiana,1,PM10,133,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Bathinda,1,PM2.5,95,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-09,Punjab,Patiala,1,PM10,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Mandi Gobindgarh,1,PM2.5,146,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Jalandhar,1,PM10,129,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Khanna,1,PM2.5,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Bathinda,1,PM2.5,173,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Ludhiana,1,PM2.5,167,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Rupnagar,1,PM2.5,187,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Amritsar,1,PM2.5,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-08,Punjab,Patiala,1,PM2.5,141,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Jalandhar,1,PM10,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Rupnagar,1,PM2.5,156,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Patiala,1,PM10,126,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Ludhiana,1,PM2.5,154,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Bathinda,1,PM10,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Khanna,1,PM2.5,141,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Amritsar,1,PM2.5,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-07,Punjab,Mandi Gobindgarh,1,PM2.5,154,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Patiala,1,PM10,161,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Ludhiana,1,PM2.5,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Bathinda,1,PM10,132,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Khanna,1,PM2.5,154,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Mandi Gobindgarh,1,PM2.5,209,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Amritsar,1,PM2.5,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Rupnagar,1,PM2.5,209,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-06,Punjab,Jalandhar,1,PM10,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2024-05-05,Punjab,Mandi Gobindgarh,1,PM10,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
