date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note,fireCount
2022-04-08,Punjab,Ludhiana,1.0,PM10,132.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-08,Punjab,Patiala,1.0,PM10,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-08,Punjab,Rupnagar,1.0,PM10,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-09,Punjab,Amritsar,1.0,PM10,143.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-09,Punjab,Bathinda,1.0,PM10,121.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-09,Punjab,Jalandhar,1.0,PM10,135.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-09,Punjab,Ludhiana,1.0,PM10,153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-09,Punjab,Patiala,1.0,O3,154.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-09,Punjab,Rupnagar,1.0,PM10,178.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-10,Punjab,Amritsar,1.0,PM10,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-10,Punjab,Bathinda,1.0,PM10,77.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-10,Punjab,Jalandhar,1.0,PM10,137.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-10,Punjab,Ludhiana,1.0,PM2.5,138.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-10,Punjab,Patiala,1.0,PM2.5,160.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-10,Punjab,Rupnagar,1.0,PM10,142.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-11,Punjab,Amritsar,1.0,PM10,115.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-11,Punjab,Jalandhar,1.0,PM10,124.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-11,Punjab,Patiala,1.0,PM10,129.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-11,Punjab,Rupnagar,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-12,Punjab,Amritsar,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-12,Punjab,Bathinda,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-12,Punjab,Jalandhar,1.0,PM10,174.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
